file,school,title,start,source_url,reason
mit-c.json,MIT Sloan School of Management,Interpersonal Communication: Strategies for Executives,2027-03-03,https://executive.mit.edu/course/interpersonal-communication/a056g00000URaaUAAT.html,no teaching days
mit-c.json,MIT Sloan School of Management,Interpersonal Communication: Strategies for Executives,2027-05-19,https://executive.mit.edu/course/interpersonal-communication/a056g00000URaaUAAT.html,no teaching days
mit-c.json,MIT Sloan School of Management,Interpersonal Communication: Strategies for Executives,2027-08-04,https://executive.mit.edu/course/interpersonal-communication/a056g00000URaaUAAT.html,no teaching days
mit-c.json,MIT Sloan School of Management,Applied Business Analytics,2026-10-22,https://executive.mit.edu/course/applied-business-analytics/a056g00000URaaVAAT.html,no teaching days
mit-c.json,MIT Sloan School of Management,Applied Business Analytics,2027-01-14,https://executive.mit.edu/course/applied-business-analytics/a056g00000URaaVAAT.html,no teaching days
mit-c.json,MIT Sloan School of Management,Applied Business Analytics,2027-04-01,https://executive.mit.edu/course/applied-business-analytics/a056g00000URaaVAAT.html,no teaching days
mit-c.json,MIT Sloan School of Management,Applied Business Analytics,2027-06-17,https://executive.mit.edu/course/applied-business-analytics/a056g00000URaaVAAT.html,no teaching days
mit-c.json,MIT Sloan School of Management,Neuroscience for Business,2026-10-14,https://executive.mit.edu/course/neuroscience-for-business/a056g00000URaaZAAT.html,no teaching days
mit-c.json,MIT Sloan School of Management,Neuroscience for Business,2027-02-03,https://executive.mit.edu/course/neuroscience-for-business/a056g00000URaaZAAT.html,no teaching days
mit-c.json,MIT Sloan School of Management,Neuroscience for Business,2027-04-14,https://executive.mit.edu/course/neuroscience-for-business/a056g00000URaaZAAT.html,no teaching days
mit-c.json,MIT Sloan School of Management,Neuroscience for Business,2027-06-09,https://executive.mit.edu/course/neuroscience-for-business/a056g00000URaaZAAT.html,no teaching days
mit-c.json,MIT Sloan School of Management,Neuroscience for Business,2027-08-11,https://executive.mit.edu/course/neuroscience-for-business/a056g00000URaaZAAT.html,no teaching days
mit-c.json,MIT Sloan School of Management,Data Monetization Strategy: Creating Value Through Data,2026-11-18,https://executive.mit.edu/course/data-monetization-strategy/a056g00000dOT5MAAW.html,no teaching days
